epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1237.1,1.7955,1.86915,1.84403,0.34603,0.42287,0.31711,0.19503,1.4367,1.85535,1.82297,0.0700393,0.00332896,0.00332896
2,2437.97,1.11986,1.0032,1.36455,0.54463,0.52876,0.51439,0.34194,1.18503,1.27142,1.60187,0.0397095,0.00633251,0.00633251
3,3627.75,0.96975,0.83799,1.25094,0.58685,0.58097,0.57786,0.3937,1.07366,1.09555,1.42017,0.00904975,0.00900606,0.00900606
4,4826.1,0.90545,0.75714,1.19987,0.63983,0.59131,0.61571,0.42643,1.01073,1.0059,1.37724,0.008515,0.008515,0.008515
5,6012.04,0.84183,0.68543,1.14855,0.63974,0.619,0.64311,0.46008,0.97261,0.95505,1.33978,0.00802,0.00802,0.00802
6,7207.86,0.79706,0.63937,1.12051,0.69527,0.65998,0.69544,0.50022,0.96437,0.89385,1.31105,0.007525,0.007525,0.007525
7,8401.34,0.7632,0.60146,1.10472,0.6949,0.6722,0.6963,0.49947,0.92713,0.82822,1.28112,0.00703,0.00703,0.00703
8,9595.75,0.75283,0.58291,1.09053,0.67883,0.65036,0.67446,0.48525,0.93379,0.86002,1.30011,0.006535,0.006535,0.006535
9,10797.2,0.72588,0.55028,1.06575,0.71338,0.68069,0.71357,0.5182,0.9136,0.8104,1.28872,0.00604,0.00604,0.00604
10,12000,0.71026,0.52507,1.05425,0.69582,0.68398,0.71354,0.52192,0.90796,0.81048,1.27279,0.005545,0.005545,0.005545
11,13183.9,0.69257,0.5125,1.04557,0.70818,0.68706,0.7261,0.53157,0.8969,0.80053,1.27557,0.00505,0.00505,0.00505
12,14375.5,0.67196,0.49238,1.03331,0.71019,0.69802,0.73153,0.53528,0.89651,0.78544,1.27219,0.004555,0.004555,0.004555
13,15582.3,0.65741,0.47797,1.02236,0.70838,0.68937,0.72052,0.53002,0.87997,0.78131,1.26038,0.00406,0.00406,0.00406
14,16771.7,0.64513,0.46248,1.01308,0.71415,0.68996,0.7241,0.53475,0.87825,0.77082,1.24995,0.003565,0.003565,0.003565
15,17965.6,0.63094,0.44846,1.01112,0.73044,0.69064,0.73645,0.54509,0.87949,0.76251,1.25551,0.00307,0.00307,0.00307
16,19164,0.61383,0.43506,1.00044,0.70551,0.68843,0.72119,0.53359,0.87666,0.79285,1.25359,0.002575,0.002575,0.002575
17,20362.4,0.60628,0.4251,0.98864,0.71311,0.69485,0.72385,0.53757,0.87402,0.78064,1.25993,0.00208,0.00208,0.00208
18,21555.7,0.58786,0.4118,0.9772,0.72201,0.68282,0.72138,0.53507,0.87363,0.7896,1.26245,0.001585,0.001585,0.001585
19,22747.4,0.5725,0.40082,0.97047,0.71179,0.68297,0.71565,0.53251,0.87496,0.80175,1.26135,0.00109,0.00109,0.00109
20,23940.9,0.55759,0.3905,0.96,0.72319,0.68307,0.7179,0.53419,0.87268,0.79316,1.26604,0.000595,0.000595,0.000595
